ip_address,MTU,"Внутренняя температура (CPE (Eltex), Основной)",Время работы Eltex,Двусторонний коэффициент потерь пакетов класс PRE (IPP7),Двусторонний коэффициент потерь пакетов класс REA (IPP5),Двусторонний коэффициент потерь пакетов класс STD (IPP1),Двусторонняя вариация времени задержки класс PRE (IPP7),Двусторонняя вариация времени задержки класс REA (IPP5),Двусторонняя вариация времени задержки класс STD (IPP1),Двусторонняя задержка передачи пакетов класс PRE (IPP7),Двусторонняя задержка передачи пакетов класс REA (IPP5),Двусторонняя задержка передачи пакетов класс STD (IPP1),Двусторонняя сетевая задержка (сред.),Джиттер,Доступность,Доступность от соседнего Eltex,Загрузка канала (UDP трафик) в момент измерения пропускной способности (передача) / Измерять только в нерабочее время,Загрузка канала (UDP трафик) в момент измерения пропускной способности (прием) /  Измерять только в нерабочее время,Загрузка канала (входящая)[new],Загрузка канала (исходящая)[new],"Загрузка канала (передача), Кбит/с","Загрузка канала (прием), Кбит/с",Загрузка оперативной памяти CPE,Загрузка процессора CPE,"Коэффициент загрузки канала (передача), %","Коэффициент загрузки канала (прием), %",Потеря пакетов,Проверка фрагментации пакетов,Пропускная способность (передача),"Пропускная способность (передача), %",Пропускная способность (прием),"Пропускная способность (прием), %",Среднее время отклика,"Статус Downlink порта до СКЗИ (CPE Eltex, Основной)","Статус Uplink порта (CPE Eltex, Основной)",Тест доступности (ICMP Echo),timestamp,target
172.16.15.150,1800.0,55.0,333740.0,0.0,0.0,0.0,1.9033333333333333,0.9216666666666667,0.09833333333333333,21.655,24.66,23.905,23.905,0.0,1.0,1.0,,,17219.07572104969,11956.96410180765,99.045,162.41166666666666,61.0,3.5,0.645,1.0583333333333333,0.0,1.0,15533.0,100.0,15730.0,100.0,26.0,2.0,2.0,100.0,2024-12-01 13:00:00,0
172.16.15.150,1800.0,55.0,333800.0,0.0,0.0,0.0,1.3516666666666666,0.45333333333333337,0.11,23.778333333333336,23.176666666666666,21.403333333333332,21.403333333333332,0.0,1.0,1.0,,,17022.217811238985,12068.181144793196,103.57166666666666,146.45166666666668,61.0,3.25,0.6733333333333333,0.9533333333333333,0.0,1.0,15533.0,100.0,15730.0,100.0,26.1,2.0,2.0,100.0,2024-12-01 13:30:00,0
172.16.15.150,1800.0,55.0,333800.0,0.0,0.0,0.0,4.175,0.4716666666666667,0.11666666666666665,24.213333333333335,24.286666666666665,23.583333333333332,23.583333333333332,0.13793103448275862,1.0,1.0,,,20416.48944824107,12194.994895877258,101.355,178.49166666666667,61.0,3.5,0.66,1.1616666666666666,0.0,1.0,15533.0,100.0,15730.0,100.0,26.103448275862068,2.0,2.0,100.0,2024-12-01 14:00:00,0
172.16.15.150,1800.0,55.0,333860.0,0.0,0.0,0.0,4.958333333333333,1.36,0.09833333333333333,26.465,22.168333333333333,22.733333333333334,22.733333333333334,0.0,1.0,1.0,,,23325.764751821163,12111.304540189103,92.815,138.75166666666667,61.0,3.25,0.6016666666666667,0.9033333333333333,0.0,1.0,15533.0,100.0,15730.0,100.0,26.033333333333335,2.0,2.0,100.0,2024-12-01 14:30:00,0
172.16.15.150,1800.0,55.0,333860.0,0.0,0.0,0.0,1.5250000000000001,0.7583333333333333,0.09166666666666667,24.131666666666664,22.400000000000002,20.268333333333334,20.268333333333334,0.0,1.0,1.0,,,15225.698157768871,10879.345699128631,123.78166666666668,118.58,61.0,3.5,0.805,0.7716666666666666,0.0,1.0,15533.0,100.0,15730.0,100.0,26.060606060606062,2.0,2.0,100.0,2024-12-01 15:00:00,0
172.16.15.150,1800.0,55.0,333920.0,0.0,0.0,0.0,1.9799999999999998,1.09,0.14333333333333334,25.093333333333334,23.28333333333333,22.665000000000003,22.665000000000003,0.0,1.0,1.0,,,15399.994115885142,10796.547242228413,84.12833333333333,133.79333333333332,61.0,3.25,0.5483333333333333,0.8716666666666666,0.0,1.0,15533.0,100.0,15730.0,100.0,26.0,2.0,2.0,100.0,2024-12-01 15:30:00,0
172.16.15.150,1800.0,55.0,333920.0,0.0,0.0,0.0,3.757142857142857,2.12,0.09571428571428572,26.009999999999998,24.435714285714287,23.28,23.28,0.0,1.0,1.0,,,17374.306864628656,12990.02086011001,94.62428571428572,135.90571428571428,61.0,3.5,0.6157142857142858,0.8842857142857142,0.0,1.0,15809.0,100.0,15753.0,100.0,26.0,2.0,2.0,100.0,2024-12-01 16:00:00,0
172.16.15.150,1800.0,55.0,333980.0,0.0,0.0,0.0,1.14,0.17666666666666667,0.49666666666666665,21.56833333333333,23.153333333333336,21.676666666666666,21.676666666666666,0.03333333333333333,1.0,1.0,,,15089.999499535725,10672.161747467177,123.67833333333334,182.41166666666666,61.0,3.25,0.8066666666666666,1.1866666666666668,0.0,1.0,15809.0,100.0,15753.0,100.0,26.0,2.0,2.0,100.0,2024-12-01 16:30:00,0
172.16.15.150,1800.0,55.0,333980.0,0.0,0.0,0.0,1.2333333333333334,1.1883333333333332,0.11333333333333334,24.825,23.278333333333332,21.67833333333333,21.67833333333333,0.0,1.0,1.0,,,15230.144996342693,10823.16143281227,107.69166666666668,154.34166666666667,61.0,3.5,0.7000000000000001,1.0033333333333334,0.0,1.0,15809.0,100.0,15753.0,100.0,26.03030303030303,2.0,2.0,100.0,2024-12-01 17:00:00,0
172.16.15.150,1800.0,55.0,334040.0,0.0,0.0,0.0,5.478333333333333,0.89,0.085,26.541666666666668,21.915000000000003,22.73,22.73,0.0,1.0,1.0,,,15311.64401771162,10769.654549882765,97.32,154.94,61.0,3.25,0.634,1.006,0.0,1.0,15809.0,100.0,15753.0,100.0,26.0,2.0,2.0,100.0,2024-12-01 17:30:00,0
172.16.15.150,1800.0,55.0,334040.0,0.0,0.0,0.0,2.8816666666666664,0.9633333333333333,0.09000000000000001,23.206666666666667,22.036666666666665,22.496666666666666,22.496666666666666,0.0,1.0,1.0,,,15872.962177527977,11209.577574753068,90.28500000000001,158.74499999999998,61.0,3.5,0.5883333333333334,1.0333333333333334,0.0,1.0,15809.0,100.0,15753.0,100.0,26.0,2.0,2.0,100.0,2024-12-01 18:00:00,0
172.16.15.150,1800.0,55.0,334100.0,0.0,0.0,0.0,2.1439999999999997,0.6759999999999999,0.105,24.368000000000002,23.716,25.268333333333334,25.268333333333334,0.06666666666666667,1.0,1.0,,,15392.404305597976,10677.17521630837,97.58999999999999,160.84666666666666,61.0,3.25,0.6366666666666666,1.0466666666666666,0.0,1.0,15809.0,100.0,15753.0,100.0,26.0,2.0,2.0,100.0,2024-12-01 18:30:00,0
172.16.15.150,1800.0,55.0,334100.0,0.0,0.0,0.0,2.5483333333333333,2.15,0.09000000000000001,25.191666666666666,23.915000000000003,23.046,23.046,0.0,1.0,1.0,,,15404.047870757373,10978.60094749843,64.605,117.11666666666667,61.0,3.5,0.42,0.7616666666666667,0.0,1.0,15809.0,100.0,15753.0,100.0,26.12121212121212,2.0,2.0,100.0,2024-12-01 19:00:00,0
172.16.15.150,1800.0,55.0,334160.0,0.0,0.0,0.0,5.215,0.4683333333333333,0.09999999999999999,26.12,24.14833333333333,21.64833333333333,21.64833333333333,0.26666666666666666,1.0,1.0,,,15194.585094302463,11082.952653083417,74.85166666666667,166.49833333333333,61.0,3.25,0.48666666666666664,1.0866666666666667,0.0,1.0,15809.0,100.0,15753.0,100.0,26.166666666666668,2.0,2.0,100.0,2024-12-01 19:30:00,0
172.16.15.150,1800.0,55.0,334160.0,0.0,0.0,0.0,0.6766666666666667,2.611666666666667,0.15166666666666667,26.938333333333333,25.265,23.501666666666665,23.501666666666665,0.1,1.0,1.0,,,25282.525618875217,15191.9606707086,96.15833333333335,114.61,61.0,3.25,0.6283333333333333,0.745,0.0,1.0,15766.0,100.0,15748.0,100.0,26.0,2.0,2.0,100.0,2024-12-01 20:00:00,0
172.16.15.150,1800.0,55.0,334220.0,0.0,0.0,0.0,3.045,1.4416666666666664,0.12166666666666666,26.76,22.709999999999997,24.723333333333333,24.723333333333333,0.0,1.0,1.0,,,23045.913352807805,11393.231439465615,129.70666666666668,1022.9983333333333,61.0,3.5,0.8450000000000001,6.66,0.0,1.0,15766.0,100.0,15748.0,100.0,26.17241379310345,2.0,2.0,100.0,2024-12-01 20:30:00,0
172.16.15.150,1800.0,55.0,334220.0,0.0,0.0,0.0,2.0666666666666664,1.18,0.12666666666666668,22.958333333333332,24.599999999999998,23.841666666666665,23.841666666666665,0.18181818181818182,1.0,1.0,,,22185.97762768203,11271.580286117098,85.16666666666667,126.76333333333332,61.0,3.5,0.5533333333333333,0.8250000000000001,0.0,1.0,15766.0,100.0,15748.0,100.0,26.133333333333333,2.0,2.0,100.0,2024-12-01 21:00:00,0
172.16.15.150,1800.0,55.0,334280.0,0.0,0.0,0.0,1.8516666666666666,0.13166666666666668,0.09499999999999999,23.891666666666666,22.983333333333334,22.495,22.495,0.03333333333333333,1.0,1.0,,,15367.213936500097,13748.053451727346,107.94500000000001,134.05499999999998,61.0,3.5,0.7016666666666667,0.8716666666666666,0.0,1.0,15766.0,100.0,15748.0,100.0,26.0,2.0,2.0,100.0,2024-12-01 21:30:00,0
172.16.15.150,1800.0,55.0,334280.0,0.0,0.0,0.0,3.198333333333333,0.275,0.06166666666666667,24.46666666666667,24.485,21.558333333333334,21.558333333333334,0.15151515151515152,1.0,1.0,,,16069.92793951784,11452.70800500443,115.44666666666667,234.525,61.0,3.25,0.7533333333333333,1.5266666666666666,0.0,1.0,15766.0,100.0,15748.0,100.0,26.066666666666666,2.0,2.0,100.0,2024-12-01 22:00:00,0
172.16.15.150,1800.0,55.0,334340.0,0.0,0.0,0.0,6.741666666666667,0.855,0.07833333333333334,26.825000000000003,21.005,22.846666666666668,22.846666666666668,0.16666666666666666,1.0,1.0,,,15705.043714877922,11264.785670148469,93.63666666666667,122.06333333333333,61.0,3.5,0.61,0.7949999999999999,0.0,1.0,15766.0,100.0,15748.0,100.0,26.166666666666668,2.0,2.0,100.0,2024-12-01 22:30:00,0
172.16.15.150,1800.0,55.0,334340.0,0.0,0.0,0.0,2.7983333333333333,0.9666666666666668,0.08166666666666667,25.516666666666666,23.611666666666668,22.665000000000003,22.665000000000003,0.03333333333333333,1.0,1.0,,,16421.29606218818,11376.460982926168,109.00333333333333,165.20166666666665,61.0,3.5,0.7083333333333334,1.075,0.0,1.0,15766.0,100.0,15748.0,100.0,26.0,2.0,2.0,100.0,2024-12-01 23:00:00,0
172.16.15.150,1800.0,55.0,334400.0,0.0,0.0,0.0,1.8766666666666667,2.861666666666667,0.08,21.728333333333335,26.875,23.826666666666668,23.826666666666668,0.10344827586206896,1.0,1.0,,,18448.976611258073,11900.049751177194,99.23666666666666,157.775,61.0,3.5,0.6466666666666666,1.0283333333333333,0.0,1.0,15766.0,100.0,15748.0,100.0,26.0,2.0,2.0,100.0,2024-12-01 23:30:00,0
172.16.15.150,1800.0,55.0,334400.0,0.0,0.0,0.0,1.274285714285714,1.3828571428571428,0.11571428571428573,23.942857142857143,25.434285714285714,24.264285714285712,24.264285714285712,0.027777777777777776,1.0,1.0,,,19708.98650390472,14569.593487040549,116.33,270.86857142857144,61.0,3.5,0.7557142857142857,1.7642857142857142,0.0,1.0,15797.0,100.0,15742.0,100.0,26.0,2.0,2.0,100.0,2024-12-02 00:00:00,0
172.16.15.150,1800.0,55.0,334460.0,0.0,0.0,0.0,1.995,2.06,0.07833333333333334,22.961666666666662,23.125,21.636666666666667,21.636666666666667,0.0,1.0,1.0,,,19558.31846150568,12340.956462688038,110.46499999999999,200.17666666666665,61.0,3.5,0.7183333333333334,1.3033333333333335,0.0,1.0,15797.0,100.0,15742.0,100.0,26.066666666666666,2.0,2.0,100.0,2024-12-02 00:30:00,0
172.16.15.150,1800.0,55.0,334460.0,0.0,0.0,0.0,1.1199999999999999,0.91,0.10333333333333333,23.218333333333334,20.75166666666667,20.291666666666668,20.291666666666668,0.03333333333333333,1.0,1.0,,,18584.377901305663,12399.65494474245,90.5,157.376,61.0,3.5,0.588,1.026,0.0,1.0,15797.0,100.0,15742.0,100.0,26.066666666666666,2.0,2.0,100.0,2024-12-02 01:00:00,0
172.16.15.150,1800.0,55.0,334520.0,0.0,0.0,0.0,2.535,0.26166666666666666,0.17,22.900000000000002,21.596666666666664,21.76,21.76,0.03333333333333333,1.0,1.0,,,18334.92023756902,12447.214769559916,84.41166666666666,131.55666666666667,61.0,3.5,0.5483333333333333,0.8566666666666668,0.0,1.0,15797.0,100.0,15742.0,100.0,26.033333333333335,2.0,2.0,100.0,2024-12-02 01:30:00,0
172.16.15.150,1800.0,55.0,334520.0,0.0,0.0,0.0,0.23666666666666666,1.9433333333333334,0.075,21.691666666666666,25.938333333333333,22.75,22.75,0.30303030303030304,1.0,1.0,,,20213.0377334874,13134.510781739935,113.54666666666667,175.53666666666666,61.0,3.5,0.7400000000000001,1.1433333333333333,0.0,1.0,15797.0,100.0,15742.0,100.0,26.166666666666668,2.0,2.0,100.0,2024-12-02 02:00:00,0
