equipment,ip_address,incident_time
05003-Eltex1,172.16.27.14,2024-10-07 17:05:43
32010-Eltex2,172.20.32.126,2024-10-07 17:38:13
50138-Eltex2,172.20.29.178,2024-10-07 17:58:16
29005-Eltex1,172.16.6.94,2024-10-07 18:03:15
29004-Eltex1,172.16.6.90,2024-10-07 18:03:18
77124-s-terra2,198.18.130.190,2024-10-07 18:33:13
50138-Eltex2,172.20.29.178,2024-10-07 18:34:16
23062-s-terra1,198.18.36.18,2024-10-07 18:46:24
62007-Eltex2,172.20.12.14,2024-10-07 18:57:13
31015-Eltex2,172.20.10.82,2024-10-07 19:04:13
38033-Eltex1,172.16.23.34,2024-10-07 19:05:41
62008-s-terra2,198.18.156.6,2024-10-07 19:33:13
50111-Eltex1,172.16.2.190,2024-10-07 19:44:17
31015-Eltex2,172.20.10.82,2024-10-07 19:44:13
89006-Eltex2,172.20.19.226,2024-10-07 19:05:14
50046-Eltex2,172.20.4.94,2024-10-07 19:10:14
50068-Eltex2,172.20.5.46,2024-10-07 19:15:14
50022-Eltex2,172.20.4.10,2024-10-07 19:25:14
64025-Eltex2,172.20.13.74,2024-10-07 19:50:15
50045-Eltex1,172.16.3.62,2024-10-07 19:55:15
24012-s-terra1,198.18.24.82,2024-10-07 20:59:16
89007-Eltex1,172.16.19.230,2024-10-07 21:07:14
89018-Eltex1,172.16.20.14,2024-10-07 21:07:12
62008-Eltex2,172.20.26.6,2024-10-07 20:25:20
89006-Eltex2,172.20.19.226,2024-10-07 21:07:12
48011-Eltex2,172.20.33.14,2024-10-07 21:06:20
62008-Eltex2,172.20.26.6,2024-10-07 20:00:34
62008-Eltex2,172.20.26.6,2024-10-07 21:19:14
62007-Eltex2,172.20.12.14,2024-10-07 21:45:13
62007-Eltex2,172.20.12.14,2024-10-07 21:45:16
31015-Eltex2,172.20.10.82,2024-10-07 21:51:12
42021-Eltex2,172.20.21.138,2024-10-07 22:01:12
42026-Eltex2,172.20.21.158,2024-10-07 22:01:12
77293-Eltex1,172.16.32.42,2024-10-07 22:12:14
50046-Eltex2,172.20.4.94,2024-10-07 21:35:14
50022-Eltex2,172.20.4.10,2024-10-07 21:35:14
02006-Eltex2,172.20.15.150,2024-10-07 22:20:14
50002-Eltex2,172.20.3.190,2024-10-07 22:34:16
40001-Eltex1,172.16.9.70,2024-10-07 22:46:13
75002-Eltex2,172.20.23.82,2024-10-07 22:57:13
59027-Eltex2,172.20.25.30,2024-10-07 23:01:15
59026-Eltex1,172.16.18.26,2024-10-07 23:01:14
53005-Eltex2,172.20.6.206,2024-10-07 23:41:13
48011-s-terra2,198.18.163.14,2024-10-07 23:55:17
02006-Eltex2,172.20.15.150,2024-10-08 00:16:17
02006-Eltex2,172.20.15.150,2024-10-08 00:16:17
77090-Eltex2,172.20.1.106,2024-10-07 23:10:35
03013-Eltex1,172.16.32.82,2024-10-08 00:39:14
47021-Eltex1,172.16.29.174,2024-10-08 01:14:15
50007-Eltex2,172.20.3.210,2024-10-08 01:27:16
53005-Eltex2,172.20.6.206,2024-10-08 01:46:13
50118-Eltex2,172.20.2.178,2024-10-08 01:46:17
50021-s-terra2,198.18.134.206,2024-10-08 01:48:14
50080-Eltex2,172.20.2.254,2024-10-08 01:48:13
50033-Eltex2,172.20.2.222,2024-10-08 01:48:15
50047-Eltex2,172.20.3.90,2024-10-08 01:48:15
50081-Eltex2,172.20.4.238,2024-10-08 01:48:12
50082-Eltex2,172.20.3.110,2024-10-08 01:48:18
50086-Eltex2,172.20.5.2,2024-10-08 01:48:16
50089-Eltex2,172.20.2.182,2024-10-08 01:48:17
50057-Eltex2,172.20.2.198,2024-10-08 01:48:15
50060-Eltex2,172.20.2.194,2024-10-08 01:48:14
50067-Eltex2,172.20.20.166,2024-10-08 01:48:17
50084-Eltex2,172.20.3.14,2024-10-08 01:48:14
50045-Eltex2,172.20.3.62,2024-10-08 01:48:14
50098-Eltex2,172.20.3.6,2024-10-08 01:48:18
50107-Eltex2,172.20.2.226,2024-10-08 01:48:13
50125-Eltex2,172.20.3.98,2024-10-08 01:48:15
50124-Eltex2,172.20.2.206,2024-10-08 01:48:17
50073-Eltex2,172.20.3.70,2024-10-08 01:48:13
50035-Eltex2,172.20.3.94,2024-10-08 01:48:15
50037-Eltex2,172.20.24.246,2024-10-08 01:48:17
50121-Eltex1,172.16.3.58,2024-10-08 01:48:13
50122-Eltex1,172.16.3.54,2024-10-08 01:48:13
50123-Eltex2,172.20.4.246,2024-10-08 01:48:13
50028-Eltex2,172.20.2.246,2024-10-08 01:48:13
50142-Eltex1,172.16.30.246,2024-10-08 01:48:17
50048-Eltex1,172.16.3.86,2024-10-08 01:49:17
50089-Eltex2,172.20.2.182,2024-10-08 01:55:17
53005-Eltex2,172.20.6.206,2024-10-08 01:56:14
50124-Eltex2,172.20.2.206,2024-10-08 01:55:17
58002-Eltex2,172.20.14.186,2024-10-08 02:09:13
58014-Eltex2,172.20.30.30,2024-10-08 02:09:15
50021-s-terra2,198.18.134.206,2024-10-08 02:41:14
50047-Eltex2,172.20.3.90,2024-10-08 02:41:15
50048-Eltex1,172.16.3.86,2024-10-08 02:41:16
50098-Eltex2,172.20.3.6,2024-10-08 02:41:18
50118-Eltex2,172.20.2.178,2024-10-08 02:41:17
50124-Eltex2,172.20.2.206,2024-10-08 02:41:17
50073-Eltex2,172.20.3.70,2024-10-08 02:41:13
50121-Eltex1,172.16.3.58,2024-10-08 02:41:13
50122-Eltex1,172.16.3.54,2024-10-08 02:41:13
50123-Eltex2,172.20.4.246,2024-10-08 02:41:13
50142-Eltex1,172.16.30.246,2024-10-08 02:41:18
50080-Eltex2,172.20.2.254,2024-10-08 02:42:12
50033-Eltex2,172.20.2.222,2024-10-08 02:42:14
50081-Eltex2,172.20.4.238,2024-10-08 02:42:12
50082-Eltex2,172.20.3.110,2024-10-08 02:42:18
50086-Eltex2,172.20.5.2,2024-10-08 02:42:15
50089-Eltex2,172.20.2.182,2024-10-08 02:42:16
50057-Eltex2,172.20.2.198,2024-10-08 02:42:14
50060-Eltex2,172.20.2.194,2024-10-08 02:42:13
50067-Eltex2,172.20.20.166,2024-10-08 02:42:16
50084-Eltex2,172.20.3.14,2024-10-08 02:42:13
50045-Eltex2,172.20.3.62,2024-10-08 02:42:13
50107-Eltex2,172.20.2.226,2024-10-08 02:42:12
50125-Eltex2,172.20.3.98,2024-10-08 02:42:14
50035-Eltex2,172.20.3.94,2024-10-08 02:42:14
50037-Eltex2,172.20.24.246,2024-10-08 02:42:15
50028-Eltex2,172.20.2.246,2024-10-08 02:42:13
53005-Eltex2,172.20.6.206,2024-10-08 02:51:13
66056-Eltex1,172.16.28.138,2024-10-08 03:11:16
50007-Eltex2,172.20.3.210,2024-10-08 03:30:14
78100-Eltex2,172.20.27.78,2024-10-08 04:00:17
78095-Eltex2,172.20.26.254,2024-10-08 04:00:14
78117-Eltex1,172.16.30.150,2024-10-08 04:00:14
78124-Eltex2,172.20.32.54,2024-10-08 04:00:18
74031-s-terra2,198.18.146.74,2024-10-08 04:08:14
33014-Eltex2,172.20.30.178,2024-10-08 04:11:15
